"Location","Day","Date","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Hubei","94","24-04-2020",68128,4512,63616,4512
"China","94","24-04-2020",15771,124,15647,124
"World","94","24-04-2020",2756002,197082,2558920,197082
"Hubei","95","25-04-2020",68128,4512,63616,4512
"China","95","25-04-2020",15781,124,15657,124
"World","95","25-04-2020",2838332,202668,2635664,202668
"Hubei","96","26-04-2020",68128,4512,63616,4512
"China","96","26-04-2020",15784,125,15659,125
"World","96","26-04-2020",2909849,206561,2703288,206561
"Hubei","97","27-04-2020",68128,4512,63616,4512
"China","97","27-04-2020",15790,125,15665,125
"World","97","27-04-2020",2976978,211214,2765764,211214
"Hubei","98","28-04-2020",68128,4512,63616,4512
"China","98","28-04-2020",15812,125,15687,125
"World","98","28-04-2020",3051484,217686,2833798,217686
"Hubei","99","29-04-2020",68128,4512,63616,4512
"China","99","29-04-2020",15816,125,15691,125
"World","99","29-04-2020",3129435,224468,2904967,224468
"Hubei","100","30-04-2020",68128,4512,63616,4512
"China","100","30-04-2020",15828,125,15703,125
"World","100","30-04-2020",3212855,230445,2982410,230445
"Hubei","101","01-05-2020",68128,4512,63616,4512
"China","101","01-05-2020",15831,125,15706,125
"World","101","01-05-2020",3300512,235650,3064862,235650
"Hubei","102","02-05-2020",68128,4512,63616,4512
"China","102","02-05-2020",15831,125,15706,125
"World","102","02-05-2020",3381643,241005,3140638,241005
"Hubei","103","03-05-2020",68128,4512,63616,4512
"China","103","03-05-2020",15836,125,15711,125
"World","103","03-05-2020",3459418,244467,3214951,244467
"Hubei","104","04-05-2020",68128,4512,63616,4512
"China","104","04-05-2020",15838,125,15713,125
"World","104","04-05-2020",3535788,248612,3287176,248612
"Hubei","105","05-05-2020",68128,4512,63616,4512
"China","105","05-05-2020",15840,125,15715,125
"World","105","05-05-2020",3616174,254501,3361673,254501
"Hubei","106","06-05-2020",68128,4512,63616,4512
"China","106","06-05-2020",15842,125,15717,125
"World","106","06-05-2020",3706906,261185,3445721,261185
"Hubei","107","07-05-2020",68128,4512,63616,4512
"China","107","07-05-2020",15847,125,15722,125
"World","107","07-05-2020",3798346,266608,3531738,266608
"Hubei","108","08-05-2020",68128,4512,63616,4512
"China","108","08-05-2020",15848,125,15723,125
"World","108","08-05-2020",3892084,272193,3619891,272193
"Hubei","109","09-05-2020",68129,4512,63617,4512
"China","109","09-05-2020",15861,125,15736,125
"World","109","09-05-2020",3978458,276475,3701983,276475
"Hubei","110","10-05-2020",68134,4512,63622,4512
"China","110","10-05-2020",15876,125,15751,125
"World","110","10-05-2020",4055010,280059,3774951,280059
"Hubei","111","11-05-2020",68134,4512,63622,4512
"China","111","11-05-2020",15877,125,15752,125
"World","111","11-05-2020",4131908,283544,3848364,283544
"Hubei","112","12-05-2020",68134,4512,63622,4512
"China","112","12-05-2020",15884,125,15759,125
"World","112","12-05-2020",4215093,289113,3925980,289113
"Hubei","113","13-05-2020",68134,4512,63622,4512
"China","113","13-05-2020",15890,125,15765,125
"World","113","13-05-2020",4300591,294351,4006240,294351
"Hubei","114","14-05-2020",68134,4512,63622,4512
"China","114","14-05-2020",15895,125,15770,125
"World","114","14-05-2020",4397891,299636,4098255,299636
"Hubei","115","15-05-2020",68134,4512,63622,4512
"China","115","15-05-2020",15904,125,15779,125
"World","115","15-05-2020",4494041,304861,4189180,304861
"Hubei","116","16-05-2020",68134,4512,63622,4512
"China","116","16-05-2020",15910,126,15784,126
"World","116","16-05-2020",4589758,309043,4280715,309043
"Hubei","117","17-05-2020",68134,4512,63622,4512
"China","117","17-05-2020",15920,126,15794,126
"World","117","17-05-2020",4668863,312376,4356487,312376
"Hubei","118","18-05-2020",68135,4512,63623,4512
"China","118","18-05-2020",15928,126,15802,126
"World","118","18-05-2020",4757867,315683,4442184,315683
"Hubei","119","19-05-2020",68135,4512,63623,4512
"China","119","19-05-2020",15928,126,15802,126
"World","119","19-05-2020",4855305,320693,4534612,320693
"Hubei","120","20-05-2020",68135,4512,63623,4512
"China","120","20-05-2020",15928,126,15802,126
"World","120","20-05-2020",4958979,325483,4633496,325483
"Hubei","121","21-05-2020",68135,4512,63623,4512
"China","121","21-05-2020",15928,126,15802,126
"World","121","21-05-2020",5066155,330202,4735953,330202
"Hubei","122","22-05-2020",68135,4512,63623,4512
"China","122","22-05-2020",15946,126,15820,126
"World","122","22-05-2020",5173761,335481,4838280,335481
"Hubei","123","23-05-2020",68135,4512,63623,4512
"China","123","23-05-2020",15949,126,15823,126
"World","123","23-05-2020",5279817,339474,4940343,339474
"Hubei","124","24-05-2020",68135,4512,63623,4512
"China","124","24-05-2020",15960,126,15834,126
"World","124","24-05-2020",5375887,342619,5033268,342619
"Hubei","125","25-05-2020",68135,4512,63623,4512
"China","125","25-05-2020",15967,126,15841,126
"World","125","25-05-2020",5463891,345728,5118163,345728
"Hubei","126","26-05-2020",68135,4512,63623,4512
"China","126","26-05-2020",15968,126,15842,126
"World","126","26-05-2020",5556741,349669,5207072,349669
"Hubei","127","27-05-2020",68135,4512,63623,4512
"China","127","27-05-2020",15971,126,15845,126
"World","127","27-05-2020",5660223,354895,5305328,354895
"Hubei","128","28-05-2020",68135,4512,63623,4512
"China","128","28-05-2020",15971,126,15845,126
"World","128","28-05-2020",5779939,359611,5420328,359611
"Hubei","129","29-05-2020",68135,4512,63623,4512
"China","129","29-05-2020",15988,126,15862,126
"World","129","29-05-2020",5902270,364353,5537917,364353
"Hubei","130","30-05-2020",68135,4512,63623,4512
"China","130","30-05-2020",15993,126,15867,126
"World","130","30-05-2020",6041029,368527,5672502,368527
"Hubei","131","31-05-2020",68135,4512,63623,4512
"China","131","31-05-2020",16011,126,15885,126
"World","131","31-05-2020",6149263,371431,5777832,371431
"Hubei","132","01-06-2020",68135,4512,63623,4512
"China","132","01-06-2020",16019,126,15893,126
"World","132","01-06-2020",6245246,374514,5870732,374514
"Hubei","133","02-06-2020",68135,4512,63623,4512
"China","133","02-06-2020",16026,126,15900,126
"World","133","02-06-2020",6367344,379361,5987983,379361
"Hubei","134","03-06-2020",68135,4512,63623,4512
"China","134","03-06-2020",16030,126,15904,126
"World","134","03-06-2020",6486978,384934,6102044,384934
"Hubei","135","04-06-2020",68135,4512,63623,4512
"China","135","04-06-2020",16041,126,15915,126
"World","135","04-06-2020",6614034,390090,6223944,390090
"Hubei","136","05-06-2020",68135,4512,63623,4512
"China","136","05-06-2020",16047,126,15921,126
"World","136","05-06-2020",6745647,394884,6350763,394884
"Hubei","137","06-06-2020",68135,4512,63623,4512
"China","137","06-06-2020",16056,126,15930,126
"World","137","06-06-2020",6882477,398785,6483692,398785
"Hubei","138","07-06-2020",68135,4512,63623,4512
"China","138","07-06-2020",16061,126,15935,126
"World","138","07-06-2020",6995752,401543,6594209,401543
"Hubei","139","08-06-2020",68135,4512,63623,4512
"China","139","08-06-2020",16065,126,15939,126
"World","139","08-06-2020",7099018,405253,6693765,405253
"Hubei","140","09-06-2020",68135,4512,63623,4512
"China","140","09-06-2020",16068,126,15942,126
"World","140","09-06-2020",7224324,410184,6814140,410184
"Hubei","141","10-06-2020",68135,4512,63623,4512
"China","141","10-06-2020",16079,126,15953,126
"World","141","10-06-2020",7359122,415412,6943710,415412
"Hubei","142","11-06-2020",68135,4512,63623,4512
"China","142","11-06-2020",16086,126,15960,126
"World","142","11-06-2020",7498615,420211,7078404,420211
"Hubei","143","12-06-2020",68135,4512,63623,4512
"China","143","12-06-2020",16098,126,15972,126
"World","143","12-06-2020",7628970,424529,7204441,424529
"Hubei","144","13-06-2020",68135,4512,63623,4512
"China","144","13-06-2020",16156,126,16030,126
"World","144","13-06-2020",7766015,428786,7337229,428786
"Hubei","145","14-06-2020",68135,4512,63623,4512
"China","145","14-06-2020",16205,126,16079,126
"World","145","14-06-2020",7900282,432188,7468094,432188
"Hubei","146","15-06-2020",68135,4512,63623,4512
"China","146","15-06-2020",16248,126,16122,126
"World","146","15-06-2020",8020834,435639,7585195,435639
"Hubei","147","16-06-2020",68135,4512,63623,4512
"China","147","16-06-2020",16292,126,16166,126
"World","147","16-06-2020",8163713,442559,7721154,442559
"Hubei","148","17-06-2020",68135,4512,63623,4512
"China","148","17-06-2020",16328,126,16202,126
"World","148","17-06-2020",8306749,447848,7858901,447848
"Hubei","149","18-06-2020",68135,4512,63623,4512
"China","149","18-06-2020",16364,126,16238,126
"World","149","18-06-2020",8448056,452886,7995170,452886
"Hubei","150","19-06-2020",68135,4512,63623,4512
"China","150","19-06-2020",16364,126,16238,126
"World","150","19-06-2020",8630266,458008,8172258,458008
"Hubei","151","20-06-2020",68135,4512,63623,4512
"China","151","20-06-2020",16423,127,16296,127
"World","151","20-06-2020",8789141,462276,8326865,462276
"Hubei","152","21-06-2020",68135,4512,63623,4512
"China","152","21-06-2020",16442,127,16315,127
"World","152","21-06-2020",8919100,466258,8452842,466258
"Hubei","153","22-06-2020",68135,4512,63623,4512
"China","153","22-06-2020",16494,127,16367,127
"World","153","22-06-2020",9057780,469843,8587937,469843
"Hubei","154","23-06-2020",68135,4512,63623,4512
"China","154","23-06-2020",16523,128,16395,128
"World","154","23-06-2020",9224196,475168,8749028,475168
"Hubei","155","24-06-2020",68135,4512,63623,4512
"China","155","24-06-2020",16543,128,16415,128
"World","155","24-06-2020",9396975,480485,8916490,480485
"Hubei","156","25-06-2020",68135,4512,63623,4512
"China","156","25-06-2020",16571,129,16442,129
"World","156","25-06-2020",9576653,487093,9089560,487093
"Hubei","157","26-06-2020",68135,4512,63623,4512
"China","157","26-06-2020",16595,129,16466,129
"World","157","26-06-2020",9768992,491936,9277056,491936
"Hubei","158","27-06-2020",68135,4512,63623,4512
"China","158","27-06-2020",16613,129,16484,129
"World","158","27-06-2020",9948992,496432,9452560,496432
"Hubei","159","28-06-2020",68135,4512,63623,4512
"China","159","28-06-2020",16627,129,16498,129
"World","159","28-06-2020",10112732,499539,9613193,499539
"Hubei","160","29-06-2020",68135,4512,63623,4512
"China","160","29-06-2020",16650,129,16521,129
"World","160","29-06-2020",10271015,503262,9767753,503262
"Hubei","161","30-06-2020",68135,4512,63623,4512
"China","161","30-06-2020",16655,129,16526,129
"World","161","30-06-2020",10446165,508415,9937750,508415
"Hubei","162","01-07-2020",68135,4512,63623,4512
"China","162","01-07-2020",16686,129,16557,129
"World","162","01-07-2020",10665443,513436,10152007,513436
"Hubei","163","02-07-2020",68135,4512,63623,4512
"China","163","02-07-2020",16700,129,16571,129
"World","163","02-07-2020",10875694,518597,10357097,518597
"Hubei","164","03-07-2020",68135,4512,63623,4512
"China","164","03-07-2020",16708,129,16579,129
"World","164","03-07-2020",11080778,523599,10557179,523599
"Hubei","165","04-07-2020",68135,4512,63623,4512
"China","165","04-07-2020",16727,129,16598,129
"World","165","04-07-2020",11276456,527990,10748466,527990
"Hubei","166","05-07-2020",68135,4512,63623,4512
"China","166","05-07-2020",16741,129,16612,129
"World","166","05-07-2020",11460833,531456,10929377,531456
"Hubei","167","06-07-2020",68135,4512,63623,4512
"China","167","06-07-2020",16759,129,16630,129
"World","167","06-07-2020",11629109,535268,11093841,535268
"Hubei","168","07-07-2020",68135,4512,63623,4512
"China","168","07-07-2020",16787,129,16658,129
"World","168","07-07-2020",11840758,541400,11299358,541400
"Hubei","169","08-07-2020",68135,4512,63623,4512
"China","169","08-07-2020",16820,129,16691,129
"World","169","08-07-2020",12054471,546743,11507728,546743
"Hubei","170","09-07-2020",68135,4512,63623,4512
"China","170","09-07-2020",16862,129,16733,129
"World","170","09-07-2020",12284106,552207,11731899,552207
"Hubei","171","10-07-2020",68135,4512,63623,4512
"China","171","10-07-2020",16862,129,16733,129
"World","171","10-07-2020",12518435,557560,11960875,557560
"Hubei","172","11-07-2020",68135,4512,63623,4512
"China","172","11-07-2020",16941,129,16812,129
"World","172","11-07-2020",12736674,562487,12174187,562487
"Hubei","173","12-07-2020",68135,4512,63623,4512
"China","173","12-07-2020",16987,129,16858,129
"World","173","12-07-2020",12931334,566477,12364857,566477
"Hubei","174","13-07-2020",68135,4512,63623,4512
"China","174","13-07-2020",16987,129,16858,129
"World","174","13-07-2020",13125571,570292,12555279,570292
"Hubei","175","14-07-2020",68135,4512,63623,4512
"China","175","14-07-2020",17096,130,16966,130
"World","175","14-07-2020",13348534,575975,12772559,575975
"Hubei","176","15-07-2020",68135,4512,63623,4512
"China","176","15-07-2020",17116,132,16984,132
"World","176","15-07-2020",13581610,581485,13000125,581485
"Hubei","177","16-07-2020",68135,4512,63623,4512
"China","177","16-07-2020",17197,132,17065,132
"World","177","16-07-2020",13836031,587307,13248724,587307
"Hubei","178","17-07-2020",68135,4512,63623,4512
"China","178","17-07-2020",17272,133,17139,133
"World","178","17-07-2020",14079949,594045,13485904,594045
"Hubei","179","18-07-2020",68135,4512,63623,4512
"China","179","18-07-2020",17288,134,17154,134
"World","179","18-07-2020",14319829,599711,13720118,599711
"Hubei","180","19-07-2020",68135,4512,63623,4512
"China","180","19-07-2020",17373,134,17239,134
"World","180","19-07-2020",14536381,603761,13932620,603761
"Hubei","181","20-07-2020",68135,4512,63623,4512
"China","181","20-07-2020",17492,134,17358,134
"World","181","20-07-2020",14744669,607943,14136726,607943
"Hubei","182","21-07-2020",68135,4512,63623,4512
"China","182","21-07-2020",17578,136,17442,136
"World","182","21-07-2020",14979832,614206,14365626,614206
"Hubei","183","22-07-2020",68135,4512,63623,4512
"China","183","22-07-2020",17776,136,17640,136
"World","183","22-07-2020",15262096,621187,14640909,621187
"Hubei","184","23-07-2020",68135,4512,63623,4512
"China","184","23-07-2020",17915,137,17778,137
"World","184","23-07-2020",15547046,631164,14915882,631164
"Hubei","185","24-07-2020",68135,4512,63623,4512
"China","185","24-07-2020",18072,138,17934,138
"World","185","24-07-2020",15830269,637345,15192924,637345
"Hubei","186","25-07-2020",68135,4512,63623,4512
"China","186","25-07-2020",18251,140,18111,140
"World","186","25-07-2020",16088154,642240,15445914,642240
"Hubei","187","26-07-2020",68135,4512,63623,4512
"China","187","26-07-2020",18440,140,18300,140
"World","187","26-07-2020",16295833,646381,15649452,646381
"Hubei","188","27-07-2020",68135,4512,63623,4512
"China","188","27-07-2020",18653,144,18509,144
"World","188","27-07-2020",16532319,651807,15880512,651807
"Hubei","189","28-07-2020",68135,4512,63623,4512
"China","189","28-07-2020",18860,145,18715,145
